001419cf-07a6-4b55-96f2-7149eecdb36f|Löwenstein Bacchus III|Statement
001419cf-07a6-4b55-96f2-7149eecdb36f|mantle|101a0b9d-2623-428b-0214-7f8347cfc3fa
001419cf-07a6-4b55-96f2-7149eecdb36f|Bacchus|101a0b9d-2623-428b-0082-7f8347cfc3fa
001419cf-07a6-4b55-96f2-7149eecdb36f|Armstrong 8.55|Statement
001419cf-07a6-4b55-96f2-7149eecdb36f|human|101a0b9d-2623-428b-0002-7f8347cfc3fa
001a3750-0fda-4a6b-846c-0508f1d28b96|dolphin|101a0b9d-2623-428b-0020-7f8347cfc3fa
001a3750-0fda-4a6b-846c-0508f1d28b96|sea-monster|101a0b9d-2623-428b-0078-7f8347cfc3fa
0094a8f9-051e-4a59-b1c7-75f6325b75cb|lion|101a0b9d-2623-428b-0031-7f8347cfc3fa
0094a8f9-051e-4a59-b1c7-75f6325b75cb|Armstrong 6.33|Statement
009ca598-a974-497c-9de6-79fb21929b4a|fish|101a0b9d-2623-428b-0022-7f8347cfc3fa
009ca598-a974-497c-9de6-79fb21929b4a|Armstrong 5.15|Statement
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|mantle|101a0b9d-2623-428b-0214-7f8347cfc3fa
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|short belted tunic|101a0b9d-2623-428b-0219-7f8347cfc3fa
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|tunic|101a0b9d-2623-428b-0223-7f8347cfc3fa
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|boots|101a0b9d-2623-428b-0204-7f8347cfc3fa
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|man|101a0b9d-2623-428b-0003-7f8347cfc3fa
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|Armstrong|Statement
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|Löwenstein Bacchus II|Statement
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|grapevine|101a0b9d-2623-428b-0071-7f8347cfc3fa
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|man|101a0b9d-2623-428b-0003-7f8347cfc3fa
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|Bacchus|101a0b9d-2623-428b-0082-7f8347cfc3fa
01314332-4213-4d75-ab7c-c978f5c23044|Armstrong 2.50|Statement
01314332-4213-4d75-ab7c-c978f5c23044|Atlante 13|Statement
01314332-4213-4d75-ab7c-c978f5c23044|branch|101a0b9d-2623-428b-0051-7f8347cfc3fa
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|Hayes 120|Statement
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|Hayes 106|Statement
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|leaf-spray|8df6d8b5-832c-4e67-9feb-ce20031e9b0b
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|chevron|101a0b9d-2623-428b-0233-7f8347cfc3fa
0202e9d6-100b-4a5e-805d-063b1247bd54|Armstrong 8.213|Statement
0202e9d6-100b-4a5e-805d-063b1247bd54|gourd-vine|101a0b9d-2623-428b-0056-7f8347cfc3fa
0202e9d6-100b-4a5e-805d-063b1247bd54|Jonah|101a0b9d-2623-428b-0126-7f8347cfc3fa
0202e9d6-100b-4a5e-805d-063b1247bd54|man|101a0b9d-2623-428b-0003-7f8347cfc3fa
02779d29-ef0e-44b6-a65f-42704779bcc0|short-sleeved belted tunic|101a0b9d-2623-428b-0221-7f8347cfc3fa
